[6, 45]
  [29, 81]
  [7, 8]
  [67, 76]
  [40, 76]
  [7, 73]
  [9, 20]
  [56, 63]
  [52, 57]
  [22, 31]
  [26, 76]
  [14, 58]
  [31, 69]
  [30, 31]
  [56, 85]
  [22, 57]
  [12, 42]
  [19, 78]
  [12, 85]
  [72, 85]
  [3, 41]
  [32, 87]
  [31, 48]
  [17, 81]
  [2, 63]
  [25, 78]
  [49, 51]
  [30, 61]
  [7, 54]
  [79, 80]
  [23, 37]
  [25, 32]
  [54, 63]
  [7, 28]
  [41, 58]
  [45, 52]
  [77, 78]
  [26, 53]
  [54, 83]
  [26, 75]
  [61, 72]
  [57, 82]
  [9, 36]
  [30, 73]
  [12, 17]
  [24, 55]
  [47, 68]
  [12, 64]
  [35, 77]
  [33, 86]
  [2, 50]
  [17, 41]
  [27, 70]
  [7, 43]
  [62, 73]
  [3, 60]
  [49, 58]
  [32, 52]
  [26, 73]
  [13, 78]
  [8, 68]
  [17, 68]
  [34, 51]
  [48, 51]
  [8, 11]
  [31, 78]
  [22, 53]
  [2, 64]
  [71, 80]
  [11, 81]
  [86, 88]
  [9, 67]
  [6, 18]
  [40, 53]
  [52, 77]
  [21, 52]
  [47, 71]
  [48, 50]
  [16, 76]
  [16, 86]
  [3, 71]
  [10, 59]
  [33, 73]
  [52, 68]
  [24, 66]
  [32, 72]
  [3, 4]
  [34, 35]
  [57, 76]
  [25, 33]
  [20, 59]
  [29, 44]
  [50, 56]
  [41, 82]
  [25, 85]
  [17, 35]
  [34, 52]
  [62, 68]
  [5, 26]
  [13, 39]
  [25, 56]
  [5, 12]
  [85, 87]
  [20, 86]
  [63, 80]
  [6, 53]
  [28, 78]
  [47, 65]
  [28, 64]
  [7, 51]
  [41, 59]
